id,Kategorie,Samen,Name,Preis,URL
113,Bonsai,true,Chinesischer Liguster,24.99,https://assets.dehner.de/new_product_list_normal/bonsai-chinesischer-liguster--ligustrum-sinensis-6-jahre/7976962_WE_FS_TestBonsaiQuer.jpg
114,Bonsai,true,Chinesische Feige,15.99,https://assets.dehner.de/new_product_list_normal/chinesische-feige--ficus-microcarpa-ginseng/8757445_PR_FS_001_FicusGinsengT12DehnerExpressHerzig.jpg
115,Bonsai,true,Chinesische Ulme,44.99,https://assets.dehner.de/new_product_list_normal/bonsai-chinesische-ulme--ulmus-parviflora-8-jahre/7976988_WE_FS_001_BonsaiChinesischeUlmeUlmusParviflora8JahreDehnerExpressHerzig2.jpg
116,Bonsai,true,Japanische Zelkove,39.99,https://assets.dehner.de/new_product_list_normal/bonsai-japanische-zelkove--zelkova-serrata/8288789_WE_FS_001_BonsaiZelkovaMitUnterschaleSFormT20DehnerExpressHerzig.jpg
117,Bonsai,true,Ginkgobaum,39.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-ginkgobaum--ginkgo-biloba/8286254_PR_FS_001_GinkoBilobaT20DehnerExpressHerzig.jpg
118,Bonsai,false,Ahorn,39.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-ahorn--acer-palmatum/8286288_PR_FS_001_AhornAcerPalmatumAtropurpureumOhneUnterschaleT15DehnerExpressHerzig.jpg
119,Bonsai,false,Roter Fächerahorn,27.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-roter-fcherahorn--acer-palmatum-atropurpureum/8286296_PR_FS_001_AhornAcerOhneUnterschaleT20DehnerExpressHerzig.jpg
120,Bonsai,false,Urweltmammutbaum,29.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-urweltmammutbaum--metasequoia-glyptostroboides/8286205_PR_FS_001_UrweltmammutbaumMetasequoiaT20DehnerExpressHerzig.jpg
121,Bonsai,false,Japanische Azalee,29.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-japanische-azalee--azalee-japonica/8286106_PR_FS_001_AzaleeAzaleaJaponicaOhneSchaleT15DehnerExpressHerzig.jpg
122,Bonsai,false,Goldlärche,29.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-goldlrche--pseudolarix-amabilis/8286221_PR_FS_001_LaercheLarixSFormOhneSchaleT15DehnerExpressHerzig.jpg
123,Bonsai,false,Japanische Stechpalme,29.99,https://assets.dehner.de/new_product_list_normal/outdoorbonsai-japanische-stechpalme--ilex-crenata/8286056_PR_FS_001_StechpalmeIlexCrenataOhneSchaleT15DehnerExpressHerzig.jpg
124,Obstbäume,true,Zwergbirne,34.99,https://assets.dehner.de/new_product_list_normal/zwergbirne-luisa/7611999_WE_FS_002_ZwergbirneLuisa.jpg
125,Obstbäume,true,Zwergapfel,34.99,https://assets.dehner.de/new_product_list_normal/zwergapfel-galina/7604697_WE_FS_002_ZwergapfelGalina.jpg
126,Obstbäume,true,Säulenapfel,44.99,https://assets.dehner.de/new_product_list_normal/sulenapfel-rhapsodie/7739626_WE_FS_001_SaeulenapfelRhapsodie.jpg
127,Obstbäume,true,Zwergsauerkirsche,34.99,https://assets.dehner.de/new_ads_main/zwergsauerkirsche-griotella/7697212_WE_FS_001_ZwergsauerkirscheGriotella.jpg
128,Obstbäume,true,Zwergaprikose,29.99,https://assets.dehner.de/new_product_list_normal/zwergaprikose/7728710_WE_FS_001_ZwergaprikoseOrangeBeauty.jpg
129,Obstbäume,false,Zwergpfirsich,39.99,https://assets.dehner.de/new_product_list_normal/zwergpfirsich-rotlaubig/7791601_WE_FS_002_Zwergpfirsichrotlaubig.jpg
130,Obstbäume,false,Säulenpflaume,39.99,https://assets.dehner.de/new_product_list_normal/sulenpflaume-marika/7709488_PR_DE_001_PrunusSaeulenpflaumeMarikaPixabay.jpg
131,Obstbäume,false,Säulenapfel,39.99,https://assets.dehner.de/new_product_list_normal/sulenapfel-starcats/7759111_WE_FS_001_SaeulenapfelStarcats.jpg
132,Obstbäume,false,Blutnektarine,29.99,https://assets.dehner.de/new_product_list_normal/blutnektarine/7744949_WE_FS_001_Blutnektarine.jpg
133,Obstbäume,false,Säulenbirne,39.99,https://assets.dehner.de/new_product_list_normal/sulenbirne-jeanne-darc/7754989_WE_FS_001_SaeulenbirneObelisk.jpg
134,Obstbäume,false,Schwarze Säulenjohannisbeere,24.99,https://assets.dehner.de/new_product_list_normal/schwarze-sulenjohannisbeere/7752785_WE_FS_001_SaeulenjohannisbeereSchwarz.jpg
135,Obstbäume,false,Sommerblutbirne,29.99,https://assets.dehner.de/new_product_list_normal/sommerblutbirne/7757388_WE_FS_001_SommerblubirneRotfleischig.jpg
136,Obstbäume,false,Echte Zitrone,29.99,https://assets.dehner.de/new_product_list_normal/echte-zitrone/7118326_WE_FS_001_Zitrone.jpg
137,Obstbäume,false,Kaffir-Limette,11.99,https://assets.dehner.de/new_product_list_normal/kaffirlimette/7977820_PR_FS_001_CitrusHystrixKaffirLimetteT12StreckeDehnerExpressHerzig.jpg
138,Obstbäume,false,Gelbe Grapefruit,44.99,https://assets.dehner.de/new_product_list_normal/gelbe-grapefruit/7622624_WE_FS_001_CitrusParadisiiT20DehnerExpressHerzig.jpg
139,Obstbäume,false,Orange,44.99,https://assets.dehner.de/new_product_list_normal/orange/7120538_WE_FS_001_CitrusSinensisT24DehnerExpressHerzig.jpg
140,Obstbäume,false,Zitronat-Zitrone Buddhas Hand,44.99,https://assets.dehner.de/new_product_list_normal/zitronatzitrone-buddhas-hand/7118763_WE_FS_001_CitrusBuddhasHandT20DehnerExpressHerzig.jpg
141,Obststräucher,true,Holunder,19.99,https://assets.dehner.de/new_product_list_normal/grofruchtiger-holunder-haschberg/7662760_WE_DE_004_SambucusHolunderHaschberg.jpg
142,Obststräucher,true,Heilderbeer-Drilling,22.99,https://assets.dehner.de/new_product_list_normal/heidelbeerdrilling/7665631_PR_DE_001_HeidelbeereDrillingDehner.jpg
143,Obststräucher,true,Maibeere,14.99,https://assets.dehner.de/new_product_list_normal/maibeere/7708399_7756448_WE_DE_001_LoniceraBlaubeereMaibeere.jpg
144,Obststräucher,true,Rote Säulenjohannisbeere,24.99,https://assets.dehner.de/new_product_list_normal/rote-sulenjohannisbeere/7752777_WE_FS_001_SaeulenjohannisbeereRot.jpg
145,Obststräucher,true,Goji-Beere,9.99,https://assets.dehner.de/new_product_list_normal/dehner-gojibeere/7654700_GojiBeere_Zehelein-Schemm_122017.jpg
146,Obststräucher,true,Stachelbeere,17.99,https://assets.dehner.de/new_product_list_normal/stachelbeere-invicta-stmmchen/7688708_WE_DE_001_StachelbeereInvicta.jpg
147,Obststräucher,true,Sibirische Blaubeere,14.99,https://assets.dehner.de/new_product_list_normal/sibirische-blaubeere-russlana/7708399_PR_FS_003_BlaubeereSibirischRusslana3LiterDehnerExpressHerzig.jpg
148,Obststräucher,true,Jostabeere,12.99,https://assets.dehner.de/new_product_list_normal/jostabeere/7691181_PR_FS_001_JochelbeereBusch3LDehnerPixabay.jpg
149,Obststräucher,true,Himbeer-Brombeer-Set,24.99,https://assets.dehner.de/new_product_list_normal/himbeerbrombeerset-gesund--lecker-3teilig/7733934_PR_DE_001_RubusBrombeerHimbeerenPflanzenpaketPixabay.jpg
150,Obststräucher,true,Apfelbeere Aronia,14.99,https://assets.dehner.de/new_product_list_normal/apfelbeere-aronia-aron/7045479_PR_MO_001_AroniaMelanocarpaAron3LPixabay.jpg
151,Obststräucher,true,Cranberry,6.99,https://assets.dehner.de/new_product_list_normal/cranberry-cranny/7771751_PR_FS_001_CranberryCrannyVacciniumPixabay.jpg
152,Obststräucher,true,Weiße Johannisbeere,11.99,https://assets.dehner.de/new_product_list_normal/johannisbeere-weie-versailler/7779374_BildFS_001_JohannisbeereWeisseVersaillerWeisseVersaillerFu.jpg
153,Sukkulenten,true,Pilea,6.99,https://assets.dehner.de/new_product_list_normal/glckstaler--pilea-peperomioides/8255051_PR_FS_001_PileaPeperomioidesT12DehnerExpressHerzig.jpg
154,Sukkulenten,true,Senecio,9.99,https://assets.dehner.de/new_product_list_normal/erbsenpflanze--senecio-rowleyanus/8759342_PR_FS_001_ErbsenpflanzeSenecioHerreanusT9DehnerExpressZS.jpg
155,Sukkulenten,true,Aloe Vera,7.99,https://assets.dehner.de/new_product_list_normal/echte-aloe--aloe-vera/8670853_PR_FS_001_AloeVeraT12DehnerExpressHerzig.jpg
156,Sukkulenten,true,Zamioculcas,6.99,https://assets.dehner.de/new_product_list_normal/glcksfeder--zamioculcas-zamiifolia/8287716_PR_FS_001_GluecksfederZamioculcasZamiifoliaT11DehnerExpressZS.jpg
157,Sukkulenten,true,Peperomie,7.99,https://assets.dehner.de/new_product_list_normal/peperomie--peperomia-polybotrya-raindrop/8294167_PR_FS_001_PeperomiaRaindropT12DehnerExpressHerzig.jpg
158,Sukkulenten,false,Tintenfisch-Aloe,7.99,https://assets.dehner.de/new_product_list_normal/tintenfischaloe--aloe-arborescens/8670614_WE_FS_001_TintenfischAloeArobrescensT12DehnerExpressHerzig.jpg
159,Sukkulenten,false,Gurkenpflanze,9.99,https://assets.dehner.de/new_product_list_normal/gurkenpflanze--delosperma-echinatum/8220089_WE_FS_001_DelospermaEchinatumT12.jpg
